,start,end,x,y,bezit
419,1103.8983631983,1108.3232504249002,3,3, TEG
422,1106.2831136175998,1112.4590414171,2,3,NEC
427,1109.4590414171,1113.6911302211,2,2,NEC
428,1110.6911302211,1120.0512688178999,3,3,NEC
431,1117.0512688178999,1122.9390706759,2,3,NEC
434,1129.5307357965,1133.2586748792,2,2, TEG
435,1130.2586748792,1140.1150103971001,2,1, TEG
437,1137.1150103971001,1143.4029500484,1,1, TEG
438,1140.4029500484,1144.9792884047,1,2, TEG
440,1158.1065883437,1169.0983249453,1,2, TEG
444,1166.0983249453,1171.1551600364,2,3, TEG
448,1169.8830214642999,1175.1629249324,2,3,NEC
451,1172.1629249324,1183.9945840451,2,4,NEC
455,1197.2430663185,1206.1067814655,1,4,NEC
458,1203.1067814655,1213.4425801158,2,4,NEC
461,1210.4425801158,1227.7392488983,2,2,NEC
467,1224.7392488983,1233.0030798377,1,3,NEC
469,1230.0030798377,1233.4751337691,1,2,NEC
470,1230.4751337691,1238.0990054062,2,2,NEC
472,1235.0990054062,1241.9709232713,2,3,NEC
475,1238.9709232713,1249.490927422,3,3,NEC
478,1246.490927422,1258.7713654827,3,2,NEC
482,1255.7713654827,1260.339282034,1,2,NEC
483,1257.339282034,1269.2029441245,1,3,NEC
487,1266.2029441245,1270.0272970572,2,2,NEC
488,1267.0272970572,1279.0911128488,3,2,NEC
490,1276.0911128488,1282.3072043186999,2,4,NEC
496,1284.2029940184,1287.4829749560001,2,1, TEG
498,1284.4829749560001,1291.3949257576,2,2, TEG
499,1288.3949257576,1303.7708375633001,3,2, TEG
502,1300.7708375633001,1314.1910540392998,2,1, TEG
509,1312.2834017783,1320.8431054997,1,3,NEC
512,1318.4911228871001,1325.0028856082001,3,1, TEG
522,1324.5952679869001,1335.7708584362,1,4,NEC
527,1333.4033440133999,1337.5472984454,2,2, TEG
531,1334.5472984454,1339.0112034235,2,3, TEG
538,1338.8990883202,1343.6909251372,2,1,NEC
540,1341.9789652854,1346.0668606757001,2,2,NEC
548,1364.8593107953,1369.4992808268,2,2, TEG
552,1366.4992808268,1371.3793008173,3,2, TEG
557,1370.1631442414,1380.2352622206,1,3,NEC
562,1377.2352622206,1382.9711405409,2,2,NEC
563,1379.9711405409,1386.1870227658999,1,2,NEC
565,1383.1870227658999,1390.5470946666,1,3,NEC
568,1387.5470946666,1391.5711113763,1,2,NEC
569,1388.5711113763,1397.9548160446,2,2,NEC
573,1394.9548160446,1399.9552215288,3,2,NEC
574,1396.9552215288,1405.8749867848,3,3,NEC
579,1408.6669534917,1422.3786535496,1,2, TEG
582,1419.3786535496,1436.5146633248999,1,3, TEG
586,1439.7631987707998,1458.2265099832998,1,2, TEG
590,1455.2265099832998,1459.4670136343,2,3, TEG
593,1457.3390559864001,1461.0190524216,2,2,NEC
596,1458.0190524216,1463.9308589510001,1,2,NEC
598,1460.9308589510001,1467.6747857734,2,3,NEC
601,1465.5311049948002,1471.3870191346,2,1,NEC
606,1468.3870191346,1476.2908871381,1,2,NEC
610,1473.2908871381,1481.3150873235002,2,2,NEC
612,1478.3150873235002,1484.5949767625,3,2,NEC
614,1481.5949767625,1489.6907664098,2,3,NEC
617,1486.6907664098,1496.970875425,3,4,NEC
620,1493.970875425,1502.1950803426,2,4,NEC
622,1500.03501456,1509.1788661137,1,1, TEG
633,1508.4586706489001,1511.6993175849,3,1,NEC
634,1508.6993175849,1513.6673264929998,2,1,NEC
636,1510.6673264929998,1516.0671910079998,2,2,NEC
637,1513.0671910079998,1519.2990891248999,3,2,NEC
639,1516.2990891248999,1522.7551060759,3,3,NEC
641,1519.7551060759,1525.7630459944,3,2,NEC
644,1522.7630459944,1529.6268346970999,3,3,NEC
647,1526.6268346970999,1532.8830976799,2,3,NEC
649,1529.8830976799,1540.3068125495001,2,4,NEC
657,1539.2274553374,1548.9950102107,2,3,NEC
660,1545.9950102107,1558.9548660336,1,3,NEC
665,1555.9548660336,1565.1192074260998,2,3,NEC
672,1576.6546542657998,1594.3820447001,2,1, TEG
673,1591.3820447001,1595.4431155928,2,3, TEG
674,1592.4431155928,1599.2749697447,2,2, TEG
681,1597.4588607987,1603.3068200343,3,2,NEC
683,1600.3068200343,1607.1790619470999,3,3,NEC
684,1604.1790619470999,1607.7150312578,3,2,NEC
685,1604.7150312578,1614.3710386666,2,2,NEC
689,1611.3710386666,1618.1948558704,1,2,NEC
690,1616.1869267116,1623.0347232176998,2,2,NEC
697,1620.0347232176998,1627.9950523026,3,2,NEC
699,1624.9950523026,1635.6267065804998,2,2,NEC
702,1632.6267065804998,1640.4028919761,3,2,NEC
705,1637.4028919761,1651.4984867516,2,1,NEC
708,1648.4984867516,1658.6748448338,3,2,NEC
709,1655.6748448338,1664.9865982576998,2,2,NEC
716,1675.6585719179998,1686.3382548482998,2,1, TEG
719,1683.3382548482998,1688.7790186198001,2,3, TEG
725,1686.8111096717998,1691.7468947360999,2,2,NEC
728,1689.6109335656,1693.8828567066,3,2,NEC
729,1691.7468955360998,1697.4746762685998,2,2,NEC
731,1694.4746762685998,1702.6349440075,3,2,NEC
737,1702.6349448075,1709.7789657462,3,2,NEC
743,1709.7789665461999,1715.2191229899,3,2,NEC
746,1712.2191229899,1717.7149394548,2,2,NEC
750,1725.0908556025,1740.2508803361,2,2,NEC
758,1737.2508803361,1743.6827033173001,1,2,NEC
761,1740.6827033173001,1750.5310679041,2,2,NEC
764,1747.5310679041,1759.7793621651,1,3,NEC
766,1756.7793621651,1766.5070079047,2,3,NEC
767,1763.5070079047,1770.3791882998,3,3,NEC
769,1767.4513074788001,1773.3070699209,2,3,NEC
771,1770.3791890998002,1776.4994722110998,3,3,NEC
773,1773.4994722110998,1783.7870882767002,2,2,NEC
776,1780.7870882767002,1785.2430222877,3,3,NEC
778,1782.2430222877,1787.7711291535998,3,2,NEC
780,1784.7711291535998,1792.858904952,2,3,NEC
784,1789.858904952,1795.4187265216,2,2,NEC
786,1792.4187265216,1800.8193081112,1,3,NEC
787,1797.8193081112,1806.3710171046,1,2,NEC
792,1803.3710171046,1808.7391662807001,3,3,NEC
793,1805.7391662807001,1813.7390985860998,3,4,NEC
795,1811.5867726551,1815.3228570034,1,1, TEG
798,1812.3228570034,1820.1226549224,1,2, TEG
