,start,end,x,y,bezit,code
108,839.4821727233,847.4903170324001,1,2,NEC,Nothing
109,845.3703198422,851.0101454636,2,3, TEG,Nothing
110,848.6263143489999,855.4983009803999,2,2,NEC,Nothing
111,853.1142701265,857.1702444582,2,3, TEG,Nothing
112,854.1702444582,860.2581217735001,1,3, TEG,Nothing
113,857.2581217735001,862.7541667592999,2,2, TEG,Nothing
114,862.7541675593,866.3222988376,2,2, TEG,Nothing
115,863.3222988376,869.9701729837,3,3, TEG,Nothing
116,866.9701729837,877.0023071055,3,4, TEG,Nothing
117,874.0023071055,878.0982691183999,3,3, TEG,Nothing
118,875.0982691183999,892.3220774186,2,3, TEG,Nothing
119,889.3220774186,896.1538909572,3,4, TEG,Nothing
120,893.1538909572,899.114492268,2,4, TEG,Nothing
121,896.114492268,903.0823651928999,1,4, TEG,Nothing
122,900.0823651928999,908.4020859402001,2,4, TEG,Nothing
123,907.8225154976,913.1423858425,2,1,NEC,Nothing
124,926.4106989616,941.9141290052,2,1,NEC,Nothing
125,938.9141290052,947.3703091625,2,3,NEC,Nothing
126,945.2181961969001,950.2501954687,2,2, TEG,Nothing
127,950.6747792317999,961.4982836487,1,3,NEC,Nothing
128,959.2262821265,965.9706672437,3,2, TEG,Nothing
129,962.9706672437,967.8505824408,2,2, TEG,Nothing
130,966.7784236267,974.1942272549,3,3,NEC,Nothing
131,971.1942272549,977.9465045044,3,4,NEC,Nothing
132,974.9465045044,980.3863854469,2,4,NEC,Nothing
133,977.3863854469,987.4666008852,2,3,NEC,Nothing
134,985.4665426081,996.7062172564999,2,2, TEG,Nothing
135,993.7062172564999,998.8907242261,2,3, TEG,Nothing
136,999.346404848,1006.3622230957001,1,2, TEG,Nothing
137,1003.3622230957001,1010.0825190358,2,2, TEG,Nothing
138,1007.0825190358,1013.0983986388001,3,2, TEG,Nothing
139,1010.0983986388001,1025.0418722528,3,3, TEG,Nothing
140,1035.3817509471,1045.5974285196,3,4, TEG,Nothing
141,1045.7065896178,1051.9784481186,2,1,NEC,Nothing
142,1055.9620929559,1060.6823020786,3,4, TEG,Nothing
143,1058.6419709666,1062.7226339907002,3,3, TEG,Nothing
144,1060.6823028786,1066.9945289042,3,4, TEG,Nothing
145,1063.9945289042,1072.5301721864998,2,4, TEG,Nothing
146,1069.5301721864998,1075.7905895911001,2,2, TEG,Nothing
147,1072.7905895911001,1087.2219306371,2,1, TEG,Nothing
148,1084.2219306371,1094.7781602831,2,3, TEG,Nothing
149,1093.1782115775,1098.59477537,1,2,NEC,Nothing
150,1093.3382596081,1113.3382596081,0,0,NEC,Goal TEG
151,1096.2905663989,1101.1064242955001,3,3, TEG,Nothing
152,1098.1064242955001,1111.5460478109,2,3, TEG,Nothing
153,1160.2504472517999,1170.2341632508,2,2,NEC,Nothing
154,1172.5063589517,1177.2983217069,2,2,NEC,Nothing
155,1174.2983217069,1187.2818493809,1,2,NEC,Nothing
156,1185.0424502094,1189.6103253919,2,1, TEG,Nothing
157,1190.522241989,1198.3306574888,1,4,NEC,Nothing
158,1196.0106415957,1210.0661533338,3,2, TEG,Nothing
159,1221.7540236583,1228.5218296841,3,2, TEG,Nothing
160,1225.5218296841,1239.0742675979,3,3, TEG,Nothing
161,1236.0742675979,1241.2506557262,2,4, TEG,Nothing
162,1241.9305009611999,1249.7144085508,2,1,NEC,Nothing
163,1246.7144085508,1258.3059833651,2,2,NEC,Nothing
164,1255.3059833651,1261.0983953766001,1,2,NEC,Nothing
165,1258.0983953766001,1264.8741406927,1,3,NEC,Nothing
166,1262.7381526958,1278.2736484305,2,3, TEG,Nothing
167,1292.8577448988,1305.4412800400999,3,4, TEG,Nothing
168,1309.3622443946,1319.1058562817,3,1,NEC,Nothing
169,1316.7306486983,1321.7146371917,1,4, TEG,Nothing
170,1318.7146371917,1326.6343570043,2,4, TEG,Nothing
171,1339.9296405799,1347.6493853293,1,4, TEG,Nothing
172,1344.6493853293,1348.5627008439,2,4, TEG,Nothing
173,1345.5627008439,1352.0266353312,2,3, TEG,Nothing
174,1350.5544407696,1356.2182706409,2,2,NEC,Nothing
175,1362.1222070176,1371.9383671913001,2,2,NEC,Nothing
176,1368.9383671913001,1377.3541189301002,1,2,NEC,Nothing
177,1374.3541189301,1378.7700460064002,2,2,NEC,Nothing
178,1377.0580464429001,1380.48204637,2,3,NEC,Nothing
179,1378.7700468064002,1384.9702435665,2,2,NEC,Nothing
180,1381.9702435665,1389.6261506654998,3,3,NEC,Nothing
181,1386.6261506654998,1392.4984259895002,2,2,NEC,Nothing
182,1389.4984259895002,1396.5063274048998,2,1,NEC,Nothing
183,1393.5063274048998,1400.746075861,1,2,NEC,Nothing
184,1397.746075861,1402.6904766347,2,3,NEC,Nothing
185,1399.6904766347,1415.9664792323001,1,3,NEC,Nothing
186,1413.6541959882998,1417.0620949061,2,2, TEG,Nothing
187,1414.0620949061,1421.6299987278,3,2, TEG,Nothing
