;start;end;code;label.0;label.1;label.2;label.3;label.4;label.5;label.6;label.7;label.8;label.9;label.10;label.11;label.12;label.13;label.14;label.15;label.16;label.17;label.18;label.19;label.20;label.21;label.22;label.23;label.24;label.25;label.26;label.27;label.28;label.29;label.30;label.31;label.32;label.33;label.34;label.35;label.36;label.37;label.38;label.39;label.40;label.41;label.42;label.43;label.44;label.45;label.46;label.47;label.48;label.49;label.50;label.51;label.52;label.53;label.54;label.55;label.56;label.57;label.58;label.59;label.60;label.61;label.62;label.63;label.64;label.65;label.66;label.67;label.68;label.69;label.70;label.71
2201;51.010.568.950.755;51.092.009.422.434;NEC;['Startzone NEC', 'M3 TEG'];['Naar zone', 'M1 NEC'];['Naar speler', 'gAAAAABYrzOUxpK7Ty_lFmmkplhGe7plHNBAeJhfYd3JY4Mj5sBwCIA0KMn23NWG9HLgJcN8Wm1ALShGKEWMLpmgc3FnQAk1mw=='];['Start', 'KP worp'];['Naar zone', 'R2 NEC'];['Naar speler', 'gAAAAABYrzOU_m3cv0-Mq0cAMfKcJ6PZ09fQgxq6iILsRdDLnA2dMrbRoZyMYM5lMtX3tZLG_Svn5vlJG4wwwhUHT-dJt4yblA=='];['Van speler', 'gAAAAABYrzOUxpK7Ty_lFmmkplhGe7plHNBAeJhfYd3JY4Mj5sBwCIA0KMn23NWG9HLgJcN8Wm1ALShGKEWMLpmgc3FnQAk1mw=='];['Rendement', 'Balverlies'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2202;51.020.489.110.863;51.156.571.082.991.900;gAAAAABYrzOU_m3cv0-Mq0cAMfKcJ6PZ09fQgxq6iILsRdDLnA2dMrbRoZyMYM5lMtX3tZLG_Svn5vlJG4wwwhUHT-dJt4yblA==;['Van speler', 'gAAAAABYrzOUxpK7Ty_lFmmkplhGe7plHNBAeJhfYd3JY4Mj5sBwCIA0KMn23NWG9HLgJcN8Wm1ALShGKEWMLpmgc3FnQAk1mw=='];['Rendement', 'Balverlies'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2203;51.028.730.612.411;51.084.970.868.051.000;M1 NEC;['Naar speler', 'gAAAAABYrzOUxpK7Ty_lFmmkplhGe7plHNBAeJhfYd3JY4Mj5sBwCIA0KMn23NWG9HLgJcN8Wm1ALShGKEWMLpmgc3FnQAk1mw=='];['Start', 'KP worp'];['Naar zone', 'R2 NEC'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2204;51.030.568.950.755;51.096.571.082.991.900;OMSCH aanvallen;['Startzone NEC', 'M3 TEG'];['Naar zone', 'M1 NEC'];['Naar speler', 'gAAAAABYrzOUxpK7Ty_lFmmkplhGe7plHNBAeJhfYd3JY4Mj5sBwCIA0KMn23NWG9HLgJcN8Wm1ALShGKEWMLpmgc3FnQAk1mw=='];['Start', 'KP worp'];['Naar zone', 'R2 NEC'];['Naar speler', 'gAAAAABYrzOU_m3cv0-Mq0cAMfKcJ6PZ09fQgxq6iILsRdDLnA2dMrbRoZyMYM5lMtX3tZLG_Svn5vlJG4wwwhUHT-dJt4yblA=='];['Van speler', 'gAAAAABYrzOUxpK7Ty_lFmmkplhGe7plHNBAeJhfYd3JY4Mj5sBwCIA0KMn23NWG9HLgJcN8Wm1ALShGKEWMLpmgc3FnQAk1mw=='];['Rendement', 'Balverlies'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2205;51.030.568.950.755;51.070.568.950.755;Balwinst;['Startzone NEC', 'M3 TEG'];['Naar zone', 'M1 NEC'];['Naar speler', 'gAAAAABYrzOUxpK7Ty_lFmmkplhGe7plHNBAeJhfYd3JY4Mj5sBwCIA0KMn23NWG9HLgJcN8Wm1ALShGKEWMLpmgc3FnQAk1mw=='];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2206;51.040.568.950.755;51.050.568.950.755;Start;['Startzone NEC', 'M3 TEG'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2207;51.054.970.868.051.000;51.096.571.082.991.900;R2 NEC;['Naar speler', 'gAAAAABYrzOU_m3cv0-Mq0cAMfKcJ6PZ09fQgxq6iILsRdDLnA2dMrbRoZyMYM5lMtX3tZLG_Svn5vlJG4wwwhUHT-dJt4yblA=='];['Van speler', 'gAAAAABYrzOUxpK7Ty_lFmmkplhGe7plHNBAeJhfYd3JY4Mj5sBwCIA0KMn23NWG9HLgJcN8Wm1ALShGKEWMLpmgc3FnQAk1mw=='];['Rendement', 'Balverlies'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2208;51.056.571.082.991.900;51.127.447.769.877;TEG;['Startzone TEG', 'R2 NEC'];['Naar zone', 'L3 TEG'];['Rendement', 'Balwinst'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2209;51.062.328.104.426;51.161.728.555.536;gAAAAABYrzOViQ5bQbZkXvcGYeCP26pkycVHvEX9hKy1nUCyuefXEY9HKEgCE7wXFXjf7_XrzdP3SyJaK61nxal6w4a9NkFz9w==;['Van speler', 'TEG'];['Naar speler', 'gAAAAABYrzOUMgnciHmdSQ6RCk1EYJoHRHp1Now5y4xL0VSlIuCHvlcyCVikh8HmS6qWQ1XYt1z525pODwIazSW5Vfop24cpYA=='];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2210;51.076.571.082.991.900;51.127.447.769.877;OMSCH verdedigen;['Startzone TEG', 'R2 NEC'];['Naar zone', 'L3 TEG'];['Rendement', 'Balwinst'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2211;51.076.571.082.991.900;51.116.571.082.991.900;Balverlies;['Startzone TEG', 'R2 NEC'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2212;51.078.407.237.469;51.235.052.074.478;gAAAAABYrzOUMgnciHmdSQ6RCk1EYJoHRHp1Now5y4xL0VSlIuCHvlcyCVikh8HmS6qWQ1XYt1z525pODwIazSW5Vfop24cpYA==;['Van speler', 'gAAAAABYrzOViQ5bQbZkXvcGYeCP26pkycVHvEX9hKy1nUCyuefXEY9HKEgCE7wXFXjf7_XrzdP3SyJaK61nxal6w4a9NkFz9w=='];['Naar zone', 'R3 NEC'];['Naar speler', 'gAAAAABYrzOUCFm6Bomi2VGE_iRXHdIQjqXIfnAuYWfxtFhYV9CpD2JvtQcJqYfC2yxRxrBX_m13f_z9_L-YqSrSJRdSuUFYpQ=='];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2213;5.109.136.858.844;51.127.447.769.877;L3 TEG;['Rendement', 'Balwinst'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2214;51.092.009.430.434;51.221.048.501.785;NEC;['Startzone NEC'];['Naar speler', 'gAAAAABYrzOViQ5bQbZkXvcGYeCP26pkycVHvEX9hKy1nUCyuefXEY9HKEgCE7wXFXjf7_XrzdP3SyJaK61nxal6w4a9NkFz9w=='];['Van speler', 'TEG'];['Naar speler', 'gAAAAABYrzOUMgnciHmdSQ6RCk1EYJoHRHp1Now5y4xL0VSlIuCHvlcyCVikh8HmS6qWQ1XYt1z525pODwIazSW5Vfop24cpYA=='];['Van speler', 'gAAAAABYrzOViQ5bQbZkXvcGYeCP26pkycVHvEX9hKy1nUCyuefXEY9HKEgCE7wXFXjf7_XrzdP3SyJaK61nxal6w4a9NkFz9w=='];['Naar zone', 'R3 NEC'];['Naar speler', 'gAAAAABYrzOUCFm6Bomi2VGE_iRXHdIQjqXIfnAuYWfxtFhYV9CpD2JvtQcJqYfC2yxRxrBX_m13f_z9_L-YqSrSJRdSuUFYpQ=='];['Van speler', 'gAAAAABYrzOUMgnciHmdSQ6RCk1EYJoHRHp1Now5y4xL0VSlIuCHvlcyCVikh8HmS6qWQ1XYt1z525pODwIazSW5Vfop24cpYA=='];['Naar speler', 'gAAAAABYrzOViQ5bQbZkXvcGYeCP26pkycVHvEX9hKy1nUCyuefXEY9HKEgCE7wXFXjf7_XrzdP3SyJaK61nxal6w4a9NkFz9w=='];['Van speler', 'gAAAAABYrzOUCFm6Bomi2VGE_iRXHdIQjqXIfnAuYWfxtFhYV9CpD2JvtQcJqYfC2yxRxrBX_m13f_z9_L-YqSrSJRdSuUFYpQ=='];['Naar speler', 'gAAAAABYrzOUCFm6Bomi2VGE_iRXHdIQjqXIfnAuYWfxtFhYV9CpD2JvtQcJqYfC2yxRxrBX_m13f_z9_L-YqSrSJRdSuUFYpQ=='];['Van speler', 'gAAAAABYrzOUCFm6Bomi2VGE_iRXHdIQjqXIfnAuYWfxtFhYV9CpD2JvtQcJqYfC2yxRxrBX_m13f_z9_L-YqSrSJRdSuUFYpQ=='];['Rendement', 'Balverlies'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2215;51.105.052.074.478;51.181.729.910.647;gAAAAABYrzOUCFm6Bomi2VGE_iRXHdIQjqXIfnAuYWfxtFhYV9CpD2JvtQcJqYfC2yxRxrBX_m13f_z9_L-YqSrSJRdSuUFYpQ==;['Van speler', 'gAAAAABYrzOUMgnciHmdSQ6RCk1EYJoHRHp1Now5y4xL0VSlIuCHvlcyCVikh8HmS6qWQ1XYt1z525pODwIazSW5Vfop24cpYA=='];['Naar speler', 'gAAAAABYrzOViQ5bQbZkXvcGYeCP26pkycVHvEX9hKy1nUCyuefXEY9HKEgCE7wXFXjf7_XrzdP3SyJaK61nxal6w4a9NkFz9w=='];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2216;51.107.447.769.877;51.221.048.501.785;OMSCH aanvallen;['Startzone NEC'];['Naar speler', 'gAAAAABYrzOViQ5bQbZkXvcGYeCP26pkycVHvEX9hKy1nUCyuefXEY9HKEgCE7wXFXjf7_XrzdP3SyJaK61nxal6w4a9NkFz9w=='];['Van speler', 'TEG'];['Naar speler', 'gAAAAABYrzOUMgnciHmdSQ6RCk1EYJoHRHp1Now5y4xL0VSlIuCHvlcyCVikh8HmS6qWQ1XYt1z525pODwIazSW5Vfop24cpYA=='];['Van speler', 'gAAAAABYrzOViQ5bQbZkXvcGYeCP26pkycVHvEX9hKy1nUCyuefXEY9HKEgCE7wXFXjf7_XrzdP3SyJaK61nxal6w4a9NkFz9w=='];['Naar zone', 'R3 NEC'];['Naar speler', 'gAAAAABYrzOUCFm6Bomi2VGE_iRXHdIQjqXIfnAuYWfxtFhYV9CpD2JvtQcJqYfC2yxRxrBX_m13f_z9_L-YqSrSJRdSuUFYpQ=='];['Van speler', 'gAAAAABYrzOUMgnciHmdSQ6RCk1EYJoHRHp1Now5y4xL0VSlIuCHvlcyCVikh8HmS6qWQ1XYt1z525pODwIazSW5Vfop24cpYA=='];['Naar speler', 'gAAAAABYrzOViQ5bQbZkXvcGYeCP26pkycVHvEX9hKy1nUCyuefXEY9HKEgCE7wXFXjf7_XrzdP3SyJaK61nxal6w4a9NkFz9w=='];['Van speler', 'gAAAAABYrzOUCFm6Bomi2VGE_iRXHdIQjqXIfnAuYWfxtFhYV9CpD2JvtQcJqYfC2yxRxrBX_m13f_z9_L-YqSrSJRdSuUFYpQ=='];['Naar speler', 'gAAAAABYrzOUCFm6Bomi2VGE_iRXHdIQjqXIfnAuYWfxtFhYV9CpD2JvtQcJqYfC2yxRxrBX_m13f_z9_L-YqSrSJRdSuUFYpQ=='];['Van speler', 'gAAAAABYrzOUCFm6Bomi2VGE_iRXHdIQjqXIfnAuYWfxtFhYV9CpD2JvtQcJqYfC2yxRxrBX_m13f_z9_L-YqSrSJRdSuUFYpQ=='];['Rendement', 'Balverlies'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
